Psusucks13 3,Kentucky,Purdue,West Virginia,Maryland,Texas,Notre Dame,Indiana,Kansas,Wisconsin,Oregon,Wofford,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Dayton,Oklahoma,Michigan State,Virginia,Duke,SDSU,SF Austin,Georgetown,SMU,Iowa State,Davidson,Gonzaga,Kentucky,West Virginia,Texas,Kansas,Wisconsin,UNC,Baylor,Arizona,Villanova,Louisville,Oklahoma,Michigan State,Duke,Georgetown,Iowa State,Gonzaga,Kentucky,Texas,UNC,Arizona,Louisville,Michigan State,Georgetown,Gonzaga,Texas,Arizona,Louisville,Gonzaga,Arizona,Gonzaga,Arizona
He. Touched. The. Ball.,Kentucky,Purdue,Buffalo,Maryland,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Arkansas,UNC,Ole Miss,Baylor,Ohio State,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,SF Austin,Georgetown,UCLA,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Butler,Wichita State,Wisconsin,UNC,Baylor,Arizona,Villanova,Northern Iowa,Oklahoma,Michigan State,Duke,SF Austin,Iowa State,Gonzaga,Kentucky,Wichita State,UNC,Arizona,Villanova,Michigan State,Duke,Gonzaga,Kentucky,Arizona,Michigan State,Duke,Kentucky,Duke,Kentucky
Psusucks13 2,Kentucky,Cincinnati,West Virginia,Maryland,Texas,Notre Dame,Indiana,Kansas,Wisconsin,Oregon,Arkansas,UNC,Xavier,Baylor,VCU,Arizona,Villanova,NC State,Wyoming,Louisville,Dayton,Oklahoma,Michigan State,Virginia,Duke,SDSU,SF Austin,Georgetown,SMU,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Texas,Kansas,Wisconsin,UNC,Baylor,Arizona,Villanova,Louisville,Oklahoma,Virginia,Duke,SF Austin,SMU,Gonzaga,Kentucky,Texas,UNC,Arizona,Villanova,Virginia,Duke,Gonzaga,Kentucky,Arizona,Virginia,Gonzaga,Kentucky,Gonzaga,Kentucky
Lpamel 2,Kentucky,Cincinnati,Buffalo,Maryland,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Arkansas,Harvard,Ole Miss,Baylor,VCU,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,St Johns,Utah,E Washington,UCLA,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Butler,Kansas,Wisconsin,Arkansas,Baylor,Arizona,Villanova,Northern Iowa,Providence,Virginia,Duke,Utah,Iowa State,Gonzaga,Kentucky,Kansas,Wisconsin,Arizona,Northern Iowa,Virginia,Utah,Iowa State,Kentucky,Arizona,Virginia,Iowa State,Arizona,Iowa State,Arizona
Grzybek100 1,Kentucky,Purdue,West Virginia,Maryland,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Arkansas,UNC,Xavier,Baylor,Ohio State,Arizona,Villanova,LSU,Northern Iowa,Louisville,Providence,Oklahoma,Georgia,Virginia,Duke,St Johns,Utah,Georgetown,UCLA,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Notre Dame,Kansas,Wisconsin,Arkansas,Xavier,Ohio State,Villanova,Louisville,Providence,Georgia,Duke,Georgetown,Iowa State,Iowa,Kentucky,Notre Dame,Arkansas,Xavier,Louisville,Georgia,Georgetown,Iowa State,Kentucky,Arkansas,Louisville,Georgetown,Kentucky,Louisville,Kentucky
Grzybek100 2,Kentucky,Cincinnati,West Virginia,Valparaiso,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Wofford,UNC,Xavier,Baylor,VCU,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,Utah,Georgetown,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Valparaiso,Notre Dame,Kansas,Oklahoma State,UNC,Xavier,VCU,Villanova,Louisville,Oklahoma,Virginia,Duke,Georgetown,Iowa State,Gonzaga,Kentucky,Kansas,UNC,Xavier,Villanova,Virginia,Georgetown,Gonzaga,Kentucky,Xavier,Virginia,Gonzaga,Kansas,Virginia,Kansas
I Let A Robot Pick,Kentucky,Purdue,Buffalo,Maryland,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Arkansas,UNC,Ole Miss,Baylor,VCU,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,SDSU,SF Austin,Georgetown,UCLA,Iowa State,Davidson,Gonzaga,Kentucky,Maryland,Notre Dame,Kansas,Wisconsin,UNC,Baylor,Arizona,Villanova,Northern Iowa,Providence,Michigan State,SDSU,Georgetown,UCLA,Gonzaga,Kentucky,Kansas,UNC,Baylor,Villanova,Michigan State,SDSU,UCLA,Kentucky,Baylor,Villanova,SDSU,Kentucky,Villanova,Villanova
upset special,Kentucky,Purdue,Buffalo,Valparaiso,Texas,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,Harvard,Ole Miss,Baylor,Ohio State,Arizona,Villanova,LSU,Wyoming,Louisville,Providence,Oklahoma,Michigan State,Virginia,Duke,St Johns,SF Austin,Georgetown,SMU,Iowa State,Davidson,Gonzaga,Kentucky,Buffalo,Texas,Wichita State,Wisconsin,Arkansas,Baylor,Arizona,Villanova,Louisville,Oklahoma,Michigan State,Duke,Georgetown,Iowa State,Gonzaga,Kentucky,Wichita State,Wisconsin,Baylor,Louisville,Oklahoma,Duke,Gonzaga,Kentucky,Wisconsin,Louisville,Duke,Kentucky,Louisville,Kentucky
madness machine,Kentucky,Purdue,Buffalo,Maryland,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oklahoma State,Arkansas,UNC,Ole Miss,Baylor,VCU,Arizona,Villanova,NC State,Northern Iowa,Louisville,Dayton,Oklahoma,Georgia,Virginia,Duke,St Johns,Utah,Georgetown,UCLA,Iowa State,Davidson,Gonzaga,Kentucky,Buffalo,Butler,Wichita State,Oklahoma State,Arkansas,Ole Miss,Arizona,Villanova,Louisville,Dayton,Virginia,St Johns,Utah,Iowa State,Gonzaga,Kentucky,Wichita State,Arkansas,Arizona,Villanova,Virginia,Utah,Gonzaga,Kentucky,Arkansas,Villanova,Gonzaga,Kentucky,Gonzaga,Kentucky
KWFox100 2,Kentucky,Purdue,Buffalo,Maryland,Butler,Notre Dame,Wichita State,Kansas,Wisconsin,Oregon,Arkansas,UNC,Ole Miss,Baylor,VCU,Arizona,Villanova,NC State,Northern Iowa,Louisville,Providence,Oklahoma,Georgia,Virginia,Duke,SDSU,SF Austin,Georgetown,SMU,Iowa State,Iowa,Gonzaga,Kentucky,Maryland,Butler,Kansas,Wisconsin,UNC,Ole Miss,VCU,Villanova,Louisville,Providence,Virginia,Duke,Georgetown,Iowa State,Gonzaga,Maryland,Kansas,UNC,Ole Miss,Louisville,Virginia,Duke,Gonzaga,Maryland,UNC,Louisville,Duke,Maryland,Duke,Maryland
